Name,Occupation,POY,Cover #,Year,Order
Joseph G. Cannon,Politics & Gov,N,1,1923,1
Warren G. Harding,Politics & Gov,N,2,1923,2
Hugo Stinnes,Politics & Gov,N,3,1923,3
Mustafa Kemal,Politics & Gov,N,4,1923,4
Stephen Sanford,Politics & Gov,N,5,1923,5
Joseph Conrad,Author,N,6,1923,6
Winston Churchill,Politics & Gov,N,7,1923,7
Samuel M. Vauclain,Politics & Gov,N,8,1923,8
King Faud I,Royalty,N,9,1923,9
James M. Beck,Politics & Gov,N,10,1923,10
John Barton Payne,Science,N,11,1923,11
Rene Viviani,Politics & Gov,N,12,1923,12
Franklin D. Roosevelt,Politics & Gov,N,13,1923,13
John L. Lewis,Business,N,14,1923,14
Herbert L. Pratt,Business,N,15,1923,15
Burton K. Wheeler,Politics & Gov,N,16,1923,16
Edward M. House,Politics & Gov,N,17,1923,17
Andrew W. Mellon,Business,N,18,1923,18
Mason M. Patrick,Military,N,19,1923,19
James Couzens,Politics & Gov,N,20,1923,20
Roy Asa Haynes,Society,N,21,1923,21
Eleanora Duse,Theater,N,22,1923,22
Benito Mussolini,Military,N,23,1923,23
Samuel George Blythe,Author,N,24,1923,24
F. E. Smith - 1st Earl of Birkenhead,Politics & Gov,N,25,1923,25
Frederick G. Banting,Science,N,26,1923,26
David Lloyd George,Politics & Gov,N,27,1923,27
Jack Dempsey,Sports,N,28,1923,28
Israel Zangwill,Author,N,29,1923,29
J.P. Morgan,Business,N,30,1923,30
Samuel Gompers,Business,N,31,1923,31
Herbert H. Asquith,Politics & Gov,N,32,1923,32
Frank O. Lowden,Politics & Gov,N,33,1923,33
John W. Weeks,Politics & Gov,N,34,1923,34
Roy Chapman Andrews,Science,N,35,1923,35
Giulio Gatti-Casazza,Theater,N,36,1923,36
Woodrow Wilson,Politics & Gov,N,37,1923,37
Erich Ludendorff,Military,N,38,1923,38
Hugh S. Gibson,Politics & Gov,N,39,1923,39
Robert M. La Follette Sr,Politics & Gov,N,40,1923,40
Albert B. Cummins,Politics & Gov,N,41,1923,41
Anton Lang,Religion,N,42,1923,42
George Bernard Shaw,Theater,N,43,1923,43
Anthony H. G. Fokker,Military,N,44,1923,44
William G. McAdoo,Politics & Gov,N,45,1924,45
Bishop William Lawrence,Religion,N,46,1924,46
Henry Cabot Lodge,Politics & Gov,N,47,1924,47
Herbert B. Swope,Entertainment,N,48,1924,48
Edward Eberle,Military,N,49,1924,49
John Hessin Clarke,Politics & Gov,N,50,1924,50
Eleutherios Venizelos,Military,N,51,1924,51
Bernard Baruch,Politics & Gov,N,52,1924,52
Reginald McKenna,Politics & Gov,N,53,1924,53
Warren Stanford Stone,Business,N,54,1924,54
Eugene O'Neill,Theater,N,55,1924,55
Raymond Poincare,Politics & Gov,N,56,1924,56
George Eastman,Business,N,57,1924,57
King George V,Royalty,N,58,1924,58
George Fisher Baker,Business,N,59,1924,59
Lou Henry Hoover,Politics & Gov,N,60,1924,60
Prince Gelasio Caetani,Royalty,N,61,1924,61
William E. Borah,Politics & Gov,N,62,1924,62
Homer Saint-Gaudens,Arts,N,63,1924,63
Henry Seidel Canby,Journalism,N,64,1924,64
Sir James Craig,Politics & Gov,N,65,1924,65
Alfred von Tirpitz,Military,N,66,1924,66
Carter Glass,Politics & Gov,N,67,1924,67
Pope Pius XI,Religion,N,68,1924,68
Hiram W. Evans,Society,N,69,1924,69
William Howard Taft,Politics & Gov,N,70,1924,70
James Stillman Rockefeller,Sports,N,71,1924,71
Alexey Rykov,Politics & Gov,N,72,1924,72
Gaston Doumergue,Politics & Gov,N,73,1924,73
William Sproule,Business,N,74,1924,74
Queen Marie,Royalty,N,75,1924,75
Gen. John J. Pershing,Military,N,76,1924,76
Ramsay MacDonald,Politics & Gov,N,77,1924,77
Edith Cummings,Sports,N,78,1924,78
Adolph S. Ochs,Business,N,79,1924,79
Wu Pei-fu,Military,N,80,1924,80
Seymour Parker Gilbert,Politics & Gov,N,81,1924,81
Leo H. Baekeland,Business,N,82,1924,82
Hiram Johnson,Politics & Gov,N,83,1924,83
William Allen White,Science,N,84,1924,84
Glenn H. Curtiss,Business,N,85,1924,85
Sir Patrick Hastings,Politics & Gov,N,86,1924,86
Sigmund Freud,Science,N,87,1924,87
Sir Thomas Lipton,Business,N,88,1924,88
Ethel Barrymore,Theater,N,89,1924,89
Frederick Huntington Gillett,Politics & Gov,N,90,1924,90
William R. Inge,Author,N,91,1924,91
Chauncey M. Depew,Politics & Gov,N,92,1924,92
Gen. Plutarco Calles,Military,N,93,1924,93
Dwight F. Davis,Sports,N,94,1924,94
King Alfonso XIII,Royalty,N,95,1924,95
Charles E. Hughes,Politics & Gov,N,96,1924,96
Juan Belmonte,Sports,N,97,1925,97
King George VI,Royalty,N,98,1925,98
John D. Rockefeller Jr,Science,N,99,1925,99
Charles B. Warren,Politics & Gov,N,100,1925,100
Fritz Kreisler,Music,N,101,1925,101
William Mackenzie King,Politics & Gov,N,102,1925,102
Harry S. New,Politics & Gov,N,103,1925,103
Owen D. Young,Business,N,104,1925,104
Amy Lowell,Author,N,105,1925,105
Nicholas Longworth,Politics & Gov,N,106,1925,106
Marshal Ferdinand Foch,Military,N,107,1925,107
Eduard Benes,Politics & Gov,N,108,1925,108
George Harold Sisler,Sports,N,109,1925,109
John Ringling,Business,N,110,1925,110
Arthur Balfour,Politics & Gov,N,111,1925,111
Walter P. Chrysler,Business,N,112,1925,112
James B. Hertzog,Military,N,113,1925,113
Thomas J. Walsh,Politics & Gov,N,114,1925,114
Winston Churchill,Politics & Gov,N,115,1925,115
Leon Trotsky,Politics & Gov,N,116,1925,116
Thomas Edison,Science,N,117,1925,117
Richard Swann Lull,Education,N,118,1925,118
Miguel Primo de Rivera,Military,N,119,1925,119
Victor Emmanuel III,Royalty,N,120,1925,120
Charles Horace Mayo,Science,N,121,1925,121
Theodore E. Burton,Author,N,122,1925,122
Charlie Chaplin,Entertainment,N,123,1925,123
Alfred E. Smith,Politics & Gov,N,124,1925,124
George Gershwin,Theater,N,125,1925,125
Henry Ford,Business,N,126,1925,126
Lincoln C. Andrews,Military,N,127,1925,127
Stanley Baldwin,Politics & Gov,N,128,1925,128
Muhammad Ibn 'Abd al-Karim al-Khattabi,Military,N,129,1925,129
F. Trubee Davison,Politics & Gov,N,130,1925,130
Bobby Jones,Sports,N,131,1925,131
Joseph Caillaux,Politics & Gov,N,132,1925,132
Zachary Lansdowne,Military,N,133,1925,133
Harry Emerson Fosdick,Author,N,134,1925,134
Frank B. Kellogg,Politics & Gov,N,135,1925,135
Red Grange,Sports,N,136,1925,136
Dwight W. Morrow,Politics & Gov,N,137,1925,137
Louis D. Brandeis,Politics & Gov,N,138,1925,138
Adm. William S. Sims,Military,N,139,1925,139
Otto H. Kahn,Business,N,140,1925,140
Aristide Briand,Politics & Gov,N,141,1925,141
Paul Painleve,Politics & Gov,N,141,1925,142
Herbert Hoover,Politics & Gov,N,142,1925,143
Gifford Pinchot,Politics & Gov,N,143,1925,144
Austen Chamberlain,Politics & Gov,N,144,1925,145
Jose R. Capablanca,Sports,N,145,1925,146
Charles G. Dawes,Politics & Gov,N,146,1925,147
Booth Tarkington,Author,N,147,1925,148
James Wadsworth Jr,Politics & Gov,N,148,1925,149
Georges Clemenceau,Science,N,149,1926,150
Jimmy Walker,Politics & Gov,N,150,1926,151
Arthur Capper,Politics & Gov,N,151,1926,152
Arturo Toscanini,Music,N,152,1926,153
Victor Henri Berenger,Politics & Gov,N,153,1926,154
Alfred Stearns,Author,N,154,1926,155
Lady Diana Manners,Royalty,N,155,1926,156
Ellen Browning Scripps,Journalism,N,156,1926,157
Marion N. Talley,Theater,N,157,1926,158
Robert Todd Lincoln,Politics & Gov,N,158,1926,159
Oliver Wendell Holmes Jr,Politics & Gov,N,159,1926,160
Paul von Hindenburg,Politics & Gov,N,160,1926,161
Andrew J. Volstead,Politics & Gov,N,161,1926,162
Alanson B. Houghton,Politics & Gov,N,162,1926,163
Lord Irwin,Politics & Gov,N,163,1926,164
Gen. Leonard Wood,Military,N,164,1926,165
Raquel Meller,Music,N,165,1926,166
King Haakon VII,Royalty,N,166,1926,167
John Hays Hammond,Science,N,167,1926,168
Philip A.S. Franklin,Politics & Gov,N,168,1926,169
Albert C. Ritchie,Politics & Gov,N,169,1926,170
Cardinal Mundelein,Religion,N,170,1926,171
Marshal Jozef Pilsudski,Politics & Gov,N,171,1926,172
Carrie Chapman Catt,Society,N,172,1926,173
A. Lawrence Lowell,Politics & Gov,N,173,1926,174
King Wilhelm II,Royalty,N,174,1926,175
Elbert Henry Gary,Politics & Gov,N,175,1926,176
Benito Mussolini,Politics & Gov,N,176,1926,177
Will Rogers,Entertainment,N,177,1926,178
Helen Wills,Sports,N,178,1926,179
Gaston Doumergue,Politics & Gov,N,179,1926,180
George E. Brennan,Politics & Gov,N,180,1926,181
Arthur Brisbane,Journalism,N,181,1926,182
Rene Fonck,Military,N,182,1926,183
Gene Tunney,Sports,N,183,1926,184
Pietro Mascagni,Music,N,184,1926,185
Will H. Hays,Politics & Gov,N,185,1926,186
H.G. Wells,Author,N,186,1926,187
Rudyard Kipling,Author,N,187,1926,188
William H. 'Big Bill' Edwards,Sports,N,188,1926,189
Ogden L. Mills,Politics & Gov,N,189,1926,190
Elihu Root,Politics & Gov,N,190,1926,191
George B. Harvey,Politics & Gov,N,191,1926,192
Giulio Gatti-Casazza,Theater,N,192,1926,193
Heihachiro Togo,Military,N,193,1926,194
Henry Sloane Coffin,Religion,N,194,1926,195
Charles M. Schwab,Business,N,195,1926,196
Samuel Insull,Business,N,196,1926,197
Guglielmo Marconi,Science,N,197,1926,198
Ralph A. Cram,Architecture,N,198,1926,199
Charles Curtis,Politics & Gov,N,199,1926,200
Alfred P. Sloan Jr,Business,N,200,1926,201
Leopold C. Amery,Politics & Gov,N,201,1927,202
James J. Davis,Politics & Gov,N,202,1927,203
Charles Copeland,Education,N,203,1927,204
Richard Strauss,Music,N,204,1927,205
Pierre S. du Pont,Business,N,205,1927,206
Alice Roosevelt Longworth,Politics & Gov,N,206,1927,207
Mortimer L. Schiff,Business,N,207,1927,208
Mustafa Kemal Ataturk,Military,N,208,1927,209
Ray Lyman Wilbur,Science,N,209,1927,210
James A. Reed,Politics & Gov,N,210,1927,211
Sinclair Lewis,Author,N,211,1927,212
Paul Claudel,Author,N,212,1927,213
Charles Dana Gibson,Arts,N,213,1927,214
Chiang Kai-shek,Politics & Gov,N,214,1927,215
Cornelius McGillicuddy,Sports,N,215,1927,216
Nellie Melba,Theater,N,216,1927,217
Robert Andrews Millikan,Science,N,217,1927,218
Michael Arlen,Author,N,218,1927,219
Charles Frederick Hughes,Military,N,219,1927,220
Julius Klein,Politics & Gov,N,220,1927,221
Andre Tardieu,Politics & Gov,N,221,1927,222
King George V,Royalty,N,222,1927,223
Queen Mary,Royalty,N,222,1927,224
James A. Farrell,Business,N,223,1927,225
John Joseph Kennedy,Business,N,224,1927,226
Smedley Butler,Military,N,225,1927,227
Nicholas M. Butler,Politics & Gov,N,226,1927,228
John McGraw,Sports,N,226,1927,229
Giuseppe Mario Bellanca,Business,N,227,1927,230
Ion I. C. Bratianu,Military,N,228,1927,231
Hugh S. Gibson,Politics & Gov,N,229,1927,232
Wallace Farrington,Politics & Gov,N,230,1927,233
King Michael I,Royalty,N,231,1927,234
Prince Edward,Royalty,N,232,1927,235
Prince George,Royalty,N,232,1927,236
Prince Henry,Royalty,N,232,1927,237
William R. Hearst,Business,N,233,1927,238
Max Reinhardt,Theater,N,234,1927,239
Charles Henry Brent,Religion,N,235,1927,240
Devereux Milburn,Sports,N,236,1927,241
E. Phillips Oppenheim,Author,N,237,1927,242
Roger Wolfe Kahn,Music,N,238,1927,243
Howard Paul Savage,Military,N,239,1927,244
Graham McNamee,Sports,N,240,1927,245
William M. Butler,Politics & Gov,N,241,1927,246
Nikita Balieff,Theater,N,242,1927,247
Bishop Freeman,Religion,N,243,1927,248
Alfred Hertz,Music,N,244,1927,249
Knute Rockne,Sports,N,245,1927,250
Newton D. Baker,Politics & Gov,N,246,1927,251
Leon Trotsky,Politics & Gov,N,247,1927,252
Frank O. Lowden,Politics & Gov,N,248,1927,253
Geraldine Farrar,Theater,N,249,1927,254
Robert M. La Follette Jr,Politics & Gov,N,250,1927,255
Aristide Briand,Politics & Gov,N,251,1927,256
Stanley Baldwin,Politics & Gov,N,252,1927,257
Charles A. Lindbergh,Aviation,Y,253,1928,258
Thomas Campbell,Business,N,254,1928,259
Calvin Coolidge,Politics & Gov,N,255,1928,260
Ignacy Jan Paderewski,Music,N,256,1928,261
Myron T. Herrick,Politics & Gov,N,257,1928,262
Vincent Astor,Business,N,258,1928,263
Eugene O'Neill,Theater,N,259,1928,264
Charles Frederick Hughes,Military,N,260,1928,265
Tomas Garrigue Masaryk,Politics & Gov,N,261,1928,266
Bernard Baruch,Politics & Gov,N,262,1928,267
Robert Dollar,Business,N,263,1928,268
Herbert Hoover,Politics & Gov,N,264,1928,269
Amadeo Giannini,Business,N,265,1928,270
Harry F. Sinclair,Business,N,266,1928,271
George Eastman,Business,N,267,1928,272
Ruth Hanna McCormick,Politics & Gov,N,268,1928,273
Al Smith,Politics & Gov,N,269,1928,274
Robert McCormick,Business,N,270,1928,275
Joseph M. Patterson,Business,N,270,1928,276
Florenz Ziegfeld,Theater,N,271,1928,277
John D. Rockefeller,Business,N,272,1928,278
Andrew W. Mellon,Business,N,273,1928,279
John Dewey,Politics & Gov,N,274,1928,280
Charles G. Dawes,Politics & Gov,N,275,1928,281
Charles Curtis,Politics & Gov,N,276,1928,282
Joseph T. Robinson,Politics & Gov,N,277,1928,283
Feng Yuxiang,Military,N,278,1928,284
Rogers Hornsby,Sports,N,279,1928,285
Julian Byng,Politics & Gov,N,280,1928,286
King Alfonso XIII,Royalty,N,281,1928,287
Melvin A. Traylor,Politics & Gov,N,282,1928,288
King Albert I,Royalty,N,283,1928,289
Jean Philippe Worth,Business,N,284,1928,290
Richard Evelyn Byrd,Military,N,285,1928,291
Frank R. Kent,Politics & Gov,N,286,1928,292
Jed Harris,Theater,N,287,1928,293
Augustus E. John,Arts,N,288,1928,294
Grace Coolidge,Politics & Gov,N,289,1928,295
James William Good,Politics & Gov,N,290,1928,296
Alexander Meiklejohn,Education,N,291,1928,297
William Howard Taft,Politics & Gov,N,292,1928,298
Harry F. Byrd,Politics & Gov,N,293,1928,299
Philip La Follette,Politics & Gov,N,294,1928,300
Lord Melchett,Politics & Gov,N,295,1928,301
Maria Jeritza,Theater,N,296,1928,302
Emperor Hirohito,Royalty,N,297,1928,303
Michael Kalinin,Politics & Gov,N,298,1928,304
Orville Wright,Aviation,N,299,1928,305
Arthur W. Cutten,Business,N,300,1928,306
Jesus,Religion,N,301,1928,307
Cardinal O'Connell,Religion,N,302,1928,308
Henry Fairfield Osborn,Science,N,303,1928,309
Walter P. Chrysler,Business,Y,304,1929,310
Adolph Zukor,Entertainment,N,305,1929,311
James Simpson,Business,N,306,1929,312
Afranio do Amaral,Science,N,307,1929,313
Clarence C. Little,Science,N,308,1929,314
King Alexander I,Royalty,N,309,1929,315
Albert Einstein,Science,N,310,1929,316
J.P. Morgan,Business,N,311,1929,317
Walter Hampden,Entertainment,N,312,1929,318
Henry L. Stimson,Politics & Gov,N,313,1929,319
Billy Barton,Sports,N,314,1929,320
Princess Martha,Royalty,N,315,1929,321
Crown Prince Olaf,Royalty,N,315,1929,322
Edward of Wales,Royalty,N,316,1929,323
Reed Smoot,Politics & Gov,N,317,1929,324
Edgar Wallace,Theater,N,318,1929,325
Myron C. Taylor,Business,N,319,1929,326
Princess Elizabeth,Royalty,N,320,1929,327
Harlan F. Stone,Politics & Gov,N,321,1929,328
Lou Henry Hoover,Politics & Gov,N,322,1929,329
Jimmy Walker,Politics & Gov,N,323,1929,330
Edward Dean Adams,Business,N,324,1929,331
Francis Scott McBride,Society,N,325,1929,332
Livingston Farrand,Science,N,326,1929,333
Max Schmeling,Sports,N,327,1929,334
Helen Wills,Sports,N,328,1929,335
Lawrence M. Judd,Politics & Gov,N,329,1929,336
David Sarnoff,Journalism,N,330,1929,337
Alvan Macauley,Business,N,331,1929,338
Jimmie Foxx,Sports,N,332,1929,339
Arthur M. Hyde,Politics & Gov,N,333,1929,340
Paul Shoup,Business,N,334,1929,341
Montagu C. Norman,Business,N,335,1929,342
Mabel Walker Willebrandt,Education,N,336,1929,343
James William Good,Politics & Gov,N,337,1929,344
Graham Bethune Grosvenor,Business,N,338,1929,345
Hugo Eckener,Aviation,N,339,1929,346
Christian K. Cagle,Sports,N,340,1929,347
Ina Claire,Theater,N,341,1929,348
Ramsay MacDonald,Politics & Gov,N,342,1929,349
William Wrigley Jr,Business,N,343,1929,350
Harry Guggenheim,Politics & Gov,N,344,1929,351
Ivar Kreuger,Business,N,345,1929,352
Samuel Insull,Business,N,346,1929,353
Thomas W. Lamont,Business,N,347,1929,354
Lewis Edward Lawes,Society,N,348,1929,355
Eva Le Gallienne,Theater,N,349,1929,356
Robert Bridges,Author,N,350,1929,357
Walter C. Teagle,Business,N,351,1929,358
Nicholas Longworth,Politics & Gov,N,352,1929,359
Wendell Cushing Neville,Military,N,353,1929,360
Pascual Ortiz Rubio,Politics & Gov,N,354,1929,361
Owen D. Young,Business,Y,355,1930,362
Domingo Ugalde,Sports,N,356,1930,363
Andre Tardieu,Politics & Gov,N,357,1930,364
William D. Mitchell,Politics & Gov,N,358,1930,365
Maria Montessori,Education,N,359,1930,366
Ray Lyman Wilbur,Science,N,360,1930,367
Charles E. Hughes,Politics & Gov,N,361,1930,368
Cyrus S. Eaton,Business,N,362,1930,369
Royal Cortissoz,Author,N,363,1930,370
Queen Mary,Royalty,N,364,1930,371
Al Capone,Crime,N,365,1930,372
Mahatma Gandhi,Society,N,366,1930,373
Heber Jedediah Grant,Religion,N,367,1930,374
William H. Welch,Science,N,368,1930,375
Philip Snowden,Politics & Gov,N,369,1930,376
Leopold Stokowski,Music,N,370,1930,377
Julius H. Barnes,Business,N,371,1930,378
Alois Lang,Religion,N,372,1930,379
Yen Hsi-shan,Military,N,373,1930,380
Edward G.V. Stanley,Sports,N,374,1930,381
William Adams Delano,Architecture,N,375,1930,382
Joseph Stalin,Politics & Gov,N,376,1930,383
Col. William C. Procter,Business,N,377,1930,384
Julio Prestes,Politics & Gov,N,378,1930,385
Lucrezia Bori,Theater,N,379,1930,386
Louis D. Brandeis,Politics & Gov,N,380,1930,387
Herbert Hoover,Aviation,N,381,1930,388
David A. Reed,Politics & Gov,N,382,1930,389
Richard B. Bennett,Politics & Gov,N,383,1930,390
Alexander Legge,Politics & Gov,N,384,1930,391
Duchess of York,Royalty,N,385,1930,392
Mrs. Thomas Hitchcock,Sports,N,386,1930,393
Wilbert Robinson,Sports,N,387,1930,394
Lord Dawson,Science,N,388,1930,395
Augusto B. Leguia,Politics & Gov,N,389,1930,396
Harold S. Vanderbilt,Sports,N,390,1930,397
Bobby Jones,Sports,N,391,1930,398
Dwight W. Morrow,Politics & Gov,N,392,1930,399
Harry Emerson Fosdick,Author,N,393,1930,400
Sergei Koussevitsky,Music,N,394,1930,401
Henri Matisse,Arts,N,395,1930,402
King George V,Royalty,N,396,1930,403
Queen Mary,Royalty,N,396,1930,404
Haile Selassie,Religion,N,397,1930,405
Jouett Shouse,Politics & Gov,N,398,1930,406
Robert Bulkley,Politics & Gov,N,399,1930,407
James J. Davis,Politics & Gov,N,400,1930,408
King Haakon VII,Royalty,N,401,1930,409
Mary Garden,Theater,N,402,1930,410
Elsa Einstein,Science,N,403,1930,411
Pope Pius XI,Religion,N,404,1930,412
Mahatma Gandhi,Society,Y,405,1931,413
James Ewing,Science,N,406,1931,414
Gerardo Machado,Politics & Gov,N,407,1931,415
William E. Borah,Politics & Gov,N,408,1931,416
George Wickersham,Politics & Gov,N,409,1931,417
Charlie Chaplin,Entertainment,N,410,1931,418
Joseph Deems Taylor,Music,N,411,1931,419
Vyacheslav Menzhinsky,Politics & Gov,N,412,1931,420
David S. Ingalls,Military,N,413,1931,421
Charles R. Crane,Business,N,414,1931,422
Oswald Mosley,Politics & Gov,N,415,1931,423
John F. Curry,Military,N,416,1931,424
Walter Lippman,Journalism,N,417,1931,425
King Alfonso XIII,Royalty,N,418,1931,426
Roy W. Howard,Business,N,419,1931,427
King Prajadhipok,Royalty,N,420,1931,428
Mrs. Nanaline Duke,Education,N,421,1931,429
Niceto Alcala-Zamora,Politics & Gov,N,422,1931,430
Hubert Lyautey,Military,N,423,1931,431
Kenkichi Kagami,Business,N,424,1931,432
Walter Coffey,Science,N,425,1931,433
Grace Hammond Conners,Science,N,425,1931,434
John Humber,Science,N,425,1931,435
Samuel R. McKelvie,Business,N,426,1931,436
David Starr Jordan,Science,N,427,1931,437
Heinrich Bruning,Politics & Gov,N,428,1931,438
Morton Downey,Music,N,429,1931,439
Cyril Alington,Religion,N,430,1931,440
Betty Nuthall,Sports,N,431,1931,441
Ogden L. Mills,Politics & Gov,N,432,1931,442
Nikola Tesla,Science,N,433,1931,443
Paul von Hindenburg,Business,N,434,1931,444
Willa Cather,Author,N,435,1931,445
Paul W. Litchfield,Business,N,436,1931,446
Samuel Seabury,Politics & Gov,N,437,1931,447
Albert H. Wiggin,Business,N,438,1931,448
Winthrop W. Aldrich,Politics & Gov,N,439,1931,449
Stanley Baldwin,Politics & Gov,N,440,1931,450
David Lloyd George,Politics & Gov,N,440,1931,451
Ramsay MacDonald,Politics & Gov,N,440,1931,452
Patrick Jay Hurley,Politics & Gov,N,441,1931,453
Ross S. Sterling,Politics & Gov,N,442,1931,454
Aristide Briand,Politics & Gov,N,443,1931,455
Pierre Laval,Politics & Gov,N,443,1931,456
Primo Carnera,Sports,N,444,1931,457
Baron Kijuro Shidehara,Politics & Gov,N,445,1931,458
William Green,Business,N,446,1931,459
Chiang Kai-shek,Politics & Gov,N,447,1931,460
Madame Chiang Kai-shek,Politics & Gov,N,447,1931,461
Eugene O'Neill,Theater,N,448,1931,462
Rosa Ponselle,Theater,N,449,1931,463
Dino Grandi,Politics & Gov,N,450,1931,464
Barry Wood,Sports,N,451,1931,465
Walter Runciman,Business,N,452,1931,466
John Nance Garner,Politics & Gov,N,453,1931,467
James H. Breasted,Education,N,454,1931,468
Adolf Hitler,Politics & Gov,N,455,1931,469
Ki Inukai,Politics & Gov,N,456,1931,470
Pierre Laval,Politics & Gov,Y,457,1932,471
Daniel Willard,Business,N,458,1932,472
Errett Lobban Cord,Business,N,459,1932,473
Philip Barry,Theater,N,460,1932,474
Franklin D. Roosevelt,Politics & Gov,N,461,1932,475
Hugh S. Gibson,Politics & Gov,N,462,1932,476
Nicholas M. Butler,Politics & Gov,N,463,1932,477
Yehudi Menuhin,Music,N,464,1932,478
William Murray,Politics & Gov,N,465,1932,479
John Barrymore,Theater,N,466,1932,480
Lionel Barrymore,Theater,N,466,1932,481
Clarence Young,Politics & Gov,N,467,1932,482
John A. Simon,Politics & Gov,N,468,1932,483
Gabby Street,Sports,N,469,1932,484
Robinson Jeffers,Author,N,470,1932,485
Eamon de Valera,Politics & Gov,N,471,1932,486
Neville Chamberlain,Politics & Gov,N,472,1932,487
Charles A. Lindbergh Jr,Crime,N,473,1932,488
Reverend Freeman,Religion,N,474,1932,489
Edouard Herriot,Politics & Gov,N,475,1932,490
Newton D. Baker,Politics & Gov,N,476,1932,491
Eugene Meyer,Politics & Gov,N,477,1932,492
Emperor Hirohito,Royalty,N,478,1932,493
Walter F. Brown,Politics & Gov,N,479,1932,494
Carlos Davila,Politics & Gov,N,480,1932,495
Alfred E. Smith,Politics & Gov,N,481,1932,496
Franz von Papen,Politics & Gov,N,482,1932,497
Ben Eastman,Sports,N,483,1932,498
Pauline Sabin,Politics & Gov,N,484,1932,499
Vere Ponsonby Earl of Bessborough,Politics & Gov,N,485,1932,500
Ellsworth Vines,Sports,N,486,1932,501
Norman M. Thomas,Politics & Gov,N,487,1932,502
Chico Marx,Entertainment,N,488,1932,503
Groucho Marx,Entertainment,N,488,1932,504
Harpo Marx,Entertainment,N,488,1932,505
Zeppo Marx,Entertainment,N,488,1932,506
Kurt von Schleicher,Military,N,489,1932,507
William G. McAdoo,Politics & Gov,N,490,1932,508
Yasuya Uchida,Politics & Gov,N,491,1932,509
Henry L. Stevens Jr,Military,N,492,1932,510
Jacob Ruppert,Sports,N,493,1932,511
Edward D. Duffield,Business,N,494,1932,512
Huey P. Long,Politics & Gov,N,495,1932,513
King George V,Royalty,N,496,1932,514
Lily Pons,Theater,N,497,1932,515
Rufus D. Isaacs,Politics & Gov,N,498,1932,516
James Farley,Politics & Gov,N,499,1932,517
Howard H. Jones,Politics & Gov,N,500,1932,518
Melvin A. Traylor,Politics & Gov,N,501,1932,519
T.E. Lawrence,Author,N,502,1932,520
Charles Curtis,Politics & Gov,N,503,1932,521
Norman H. Davis,Politics & Gov,N,504,1932,522
Henry T. Rainey,Politics & Gov,N,505,1932,523
Katharine Cornell,Theater,N,506,1932,524
Franklin D. Roosevelt,Politics & Gov,Y,507,1933,525
Charles F. Kettering,Business,N,508,1933,526
Lawrence Tibbett,Theater,N,509,1933,527
Sadao Araki,Military,N,510,1933,528
Noël Coward,Author,N,511,1933,529
Carter Glass,Politics & Gov,N,512,1933,530
Richard Leigh,Military,N,513,1933,531
William W. Atterbury,Politics & Gov,N,514,1933,532
Pat Harrison,Politics & Gov,N,515,1933,533
Sara Delano Roosevelt,Politics & Gov,N,516,1933,534
Adolf Hitler,Politics & Gov,N,517,1933,535
William H. Woodin,Politics & Gov,N,518,1933,536
John Hay Whitney,Business,N,519,1933,537
Pope Pius XI,Religion,N,520,1933,538
Henry A. Wallace,Politics & Gov,N,521,1933,539
Cordell Hull,Politics & Gov,N,522,1933,540
Maxim Litvinov,Politics & Gov,N,523,1933,541
William R. Hearst,Business,N,524,1933,542
Raymond Moley,Politics & Gov,N,525,1933,543
Gerardo Machado,Politics & Gov,N,526,1933,544
Rufus C. Dawes,Business,N,527,1933,545
Edouard Daladier,Politics & Gov,N,528,1933,546
Frank Aydelotte,Education,N,529,1933,547
Ferdinand Pecora,Politics & Gov,N,530,1933,548
Neville Chamberlain,Politics & Gov,N,531,1933,549
Italo Balbo,Military,N,532,1933,550
Hugh S. Johnson,Politics & Gov,N,533,1933,551
Joseph Goebbels,Politics & Gov,N,534,1933,552
Curtis Bok,Journalism,N,535,1933,553
Harold L. Ickes,Politics & Gov,N,536,1933,554
Juan Trippe,Business,N,537,1933,555
Marie Dressler,Entertainment,N,538,1933,556
Frances Perkins,Politics & Gov,N,539,1933,557
Hermann Goring,Military,N,540,1933,558
Edward J. Kelly,Politics & Gov,N,541,1933,559
Jack Crawford,Sports,N,542,1933,560
Gertrude Stein,Author,N,543,1933,561
George F. Zook,Education,N,544,1933,562
Engelbert Dollfuss,Politics & Gov,N,545,1933,563
John L. Lewis,Politics & Gov,N,546,1933,564
George M. Cohan,Theater,N,547,1933,565
Percy S. Straus,Business,N,548,1933,566
Fiorello LaGuardia,Politics & Gov,N,549,1933,567
Joseph V. McKee,Politics & Gov,N,549,1933,568
John P. O'Brien,Politics & Gov,N,549,1933,569
Maxime Weygand,Military,N,550,1933,570
George Peek,Politics & Gov,N,551,1933,571
Eleanor Roosevelt,Politics & Gov,N,552,1933,572
George F. Warren,Politics & Gov,N,553,1933,573
Seton Porter,Business,N,554,1933,574
Chiang Kai-shek,Politics & Gov,N,555,1933,575
Eugene Luther Vidal,Aviation,N,556,1933,576
Alice in Wonderland,Entertainment,N,557,1933,577
Hugh S. Johnson,Politics & Gov,Y,558,1934,578
Walter P. Chrysler,Business,N,559,1934,579
Charles Coughlin,Religion,N,560,1934,580
Elmer Thomas,Politics & Gov,N,560,1934,581
